15-07-2022 20:52:07.142 | 163  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Inicializando Aplicação
15-07-2022 20:52:07.563 | 584  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Starting SummitBootcampApplication using Java 11.0.14 on lnb035864cps with PID 219944 (/home/alefep/Documentos/projetct-myMusic-toTal/MyMusic/target/classes started by CIANDT\alefep in /home/alefep/Documentos/projetct-myMusic-toTal)
15-07-2022 20:52:07.568 | 589  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - No active profile set, falling back to default profiles: default
15-07-2022 20:52:10.551 | 3572 | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Started SummitBootcampApplication in 3.314 seconds (JVM running for 3.726)
15-07-2022 20:52:10.586 | 3607 | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Aplicação inicializada!
15-07-2022 20:52:16.939 | 9960 | [http-nio-8080-exec-1] | INFO  | c.c.s.b.controller.MusicController - Acessando método de buscar musicas por filtro!
15-07-2022 20:52:16.940 | 9961 | [http-nio-8080-exec-1] | ERROR | c.c.s.b.service.MusicaService - Erro ao filtrar musicas!
15-07-2022 20:52:31.883 | 151  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Inicializando Aplicação
15-07-2022 20:52:32.337 | 605  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Starting SummitBootcampApplication using Java 11.0.14 on lnb035864cps with PID 220066 (/home/alefep/Documentos/projetct-myMusic-toTal/MyMusic/target/classes started by CIANDT\alefep in /home/alefep/Documentos/projetct-myMusic-toTal)
15-07-2022 20:52:32.338 | 606  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - No active profile set, falling back to default profiles: default
15-07-2022 20:52:35.281 | 3549 | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Started SummitBootcampApplication in 3.291 seconds (JVM running for 3.704)
15-07-2022 20:52:35.315 | 3583 | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Aplicação inicializada!
15-07-2022 20:53:13.394 | 167  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Inicializando Aplicação
